period_number,period_s,period_error_s,period_error_ps
0,2.85381109260105e-08,-3.2093237054038433e-11,-32.09323705403843
1,2.8537720994772703e-08,-3.248316829183619e-11,-32.48316829183619
2,2.8541202450049763e-08,-2.9001713014775724e-11,-29.001713014775724
3,2.854398458248435e-08,-2.6219580580188337e-11,-26.21958058018834
4,2.8546366802448177e-08,-2.3837360616361245e-11,-23.837360616361245
5,2.854842111535828e-08,-2.178304770625757e-11,-21.78304770625757
6,2.8550281953474907e-08,-1.992220958963176e-11,-19.92220958963176
7,2.855194635727849e-08,-1.8257805786048995e-11,-18.257805786048994
8,2.855342960334027e-08,-1.677455972426863e-11,-16.774559724268627
9,2.8554833210334358e-08,-1.5370952730181176e-11,-15.370952730181175
10,2.8556085732292036e-08,-1.411843077250251e-11,-14.11843077250251
11,2.855726386215133e-08,-1.294030091320807e-11,-12.94030091320807
12,2.8558343236764565e-08,-1.1860926299973356e-11,-11.860926299973356
13,2.855933631189353e-08,-1.0867851171007459e-11,-10.867851171007459
14,2.856026320733544e-08,-9.94095572909755e-12,-9.940955729097551
15,2.8561119022022137e-08,-9.085141042401715e-12,-9.085141042401716
16,2.856191879855403e-08,-8.285364510508128e-12,-8.285364510508128
17,2.8562668215128292e-08,-7.535947936246522e-12,-7.535947936246522
18,2.8563383896589327e-08,-6.820266475212128e-12,-6.8202664752121285
19,2.8564012343143563e-08,-6.191819920975918e-12,-6.1918199209759175
20,2.856463361845937e-08,-5.5705446051691785e-12,-5.570544605169179
21,2.8565197352970373e-08,-5.006810094165644e-12,-5.006810094165644
22,2.8565738774329616e-08,-4.4653887349224045e-12,-4.465388734922405
23,2.856622360669159e-08,-3.980556372947672e-12,-3.9805563729476723
24,2.8566704276923398e-08,-3.499886141140367e-12,-3.499886141140367
25,2.8567131692282905e-08,-3.072470781633269e-12,-3.072470781633269
26,2.8567532244758208e-08,-2.6719183063305566e-12,-2.6719183063305567
27,2.8567925743617465e-08,-2.2784194470741277e-12,-2.2784194470741275
28,2.8568291969181337e-08,-1.9121938832019517e-12,-1.9121938832019518
29,2.856862636495467e-08,-1.5777981098691708e-12,-1.5777981098691707
30,2.856894410002361e-08,-1.2600630409280129e-12,-1.260063040928013
31,2.8569231500308388e-08,-9.726627561506097e-13,-0.9726627561506097
32,2.8569507318047804e-08,-6.968450167343963e-13,-0.6968450167343962
33,2.8569775909932107e-08,-4.282531324320927e-13,-0.4282531324320927
34,2.8570136513894162e-08,-6.764917037678128e-14,-0.06764917037678128
35,2.8540146145456273e-08,-3.005801760826606e-11,-30.05801760826606
36,2.8539792030918558e-08,-3.0412132145980593e-11,-30.412132145980593
37,2.8543011254756256e-08,-2.71929083082826e-11,-27.1929083082826
38,2.8545586033538908e-08,-2.4618129525630538e-11,-24.618129525630536
39,2.854774666553666e-08,-2.245749752787848e-11,-22.45749752787848
40,2.8549631819827902e-08,-2.057234323663629e-11,-20.57234323663629
41,2.8551267705346746e-08,-1.8936457717792443e-11,-18.936457717792443
42,2.8552782792989765e-08,-1.7421370074774057e-11,-17.421370074774057
43,2.8554098826440058e-08,-1.6105336624480836e-11,-16.105336624480834
44,2.8555317913784694e-08,-1.4886249279844752e-11,-14.886249279844751
45,2.8556432616366778e-08,-1.3771546697761118e-11,-13.771546697761119
46,2.855744694521935e-08,-1.2757217845187771e-11,-12.757217845187771
47,2.8558408403386664e-08,-1.1795759677874811e-11,-11.79575967787481
48,2.8559259247955076e-08,-1.094491510946292e-11,-10.94491510946292
49,2.856006218938153e-08,-1.0141973683007631e-11,-10.141973683007631
50,2.8560806056494078e-08,-9.398106570460838e-12,-9.398106570460838
51,2.8561480040705076e-08,-8.724122359462901e-12,-8.724122359462902
52,2.8562143316901737e-08,-8.0608461628013e-12,-8.0608461628013
53,2.856273103644491e-08,-7.473126619629917e-12,-7.473126619629917
54,2.856329442960841e-08,-6.909733456127862e-12,-6.909733456127862
55,2.8563803592388708e-08,-6.400570675830708e-12,-6.400570675830708
56,2.856428229215083e-08,-5.92187091370926e-12,-5.9218709137092596
57,2.8564743029800034e-08,-5.4611332645046504e-12,-5.46113326450465
58,2.8565162111724145e-08,-5.042051340393292e-12,-5.042051340393292
59,2.856554668335758e-08,-4.6574797069574184e-12,-4.657479706957418
60,2.8565932806484326e-08,-4.271356580212718e-12,-4.271356580212719
61,2.856624693972523e-08,-3.9572233393087745e-12,-3.9572233393087743
62,2.8566584182640573e-08,-3.6199804239659923e-12,-3.619980423965992
63,2.856688908788442e-08,-3.3150751801177787e-12,-3.3150751801177787
64,2.8567149000567702e-08,-3.0551624968365474e-12,-3.0551624968365476
65,2.856742349356114e-08,-2.7806695033973126e-12,-2.780669503397313
66,2.8567677362223887e-08,-2.5268008406518734e-12,-2.526800840651873
67,2.856790211387835e-08,-2.302049186190053e-12,-2.302049186190053
68,2.8568096826803602e-08,-2.107336260936263e-12,-2.1073362609362634
69,2.8568331864541573e-08,-1.872298522966057e-12,-1.872298522966057
70,2.85429406802828e-08,-2.7263482781739702e-11,-27.263482781739704
71,2.8542675109338115e-08,-2.7529053726423755e-11,-27.529053726423754
72,2.8545649810810133e-08,-2.4554352254405925e-11,-24.554352254405924
73,2.8547999537031563e-08,-2.220462603297613e-11,-22.20462603297613
