offset_frequency_hz,phase_noise_dbc_per_hz
20409.037880190004,-76.86504999918297
40818.07576038001,-78.35039046401987
61227.11364057001,-84.08091633667931
81636.15152076002,-94.2871804695976
102045.18940095002,-103.2400348138819
122454.22728114002,-112.68335275034863
142863.26516133003,-114.42898828442327
163272.30304152003,-120.89261473633059
183681.34092171004,-128.37808479873647
204090.37880190005,-124.77142448321773
224499.41668209006,-129.54660929603045
244908.45456228004,-135.11061022306683
265317.49244247004,-135.8682698660451
285726.53032266005,-131.99265517445573
306135.56820285006,-139.88414705662026
326544.60608304007,-137.40795982262443
346953.6439632301,-140.14108318433256
367362.6818434201,-143.54103511595855
387771.7197236101,-138.28068331057872
408180.7576038001,-146.99416241486193
428589.7954839901,-147.86678416674494
448998.8333641801,-145.8131032726492
469407.8712443701,-146.5844923933313
489816.9091245601,-150.89159599843492
510225.9470047501,-154.20275705982283
530634.9848849401,-152.20149949798588
551044.0227651302,-148.30116760579597
571453.0606453201,-148.83434851037643
591862.0985255102,-149.84346560250228
612271.1364057001,-153.45377824632646
632680.1742858902,-149.62848840190983
653089.2121660801,-150.08095788575753
673498.2500462701,-149.82232967656188
693907.2879264602,-161.6615089610496
714316.3258066501,-157.79797582039873
734725.3636868402,-149.88996410307766
755134.4015670301,-156.73360446749498
775543.4394472202,-158.40469761670977
795952.4773274101,-156.96051493329247
816361.5152076002,-163.98562031755642
836770.5530877901,-151.5969612425935
857179.5909679802,-163.2300914990404
877588.6288481702,-145.56972440100708
897997.6667283602,-140.50441718577895
918406.7046085502,-133.70800618150957
938815.7424887402,-124.3893930743789
959224.7803689302,-117.78087848634549
979633.8182491201,-103.13612593414604
1000042.8561293102,-98.72586557399322
1020451.8940095002,-104.78018170819229
1040860.9318896902,-118.71285293227623
1061269.9697698802,-124.08327174167077
1081679.0076500701,-134.7205101349544
1102088.0455302603,-149.70310541368815
1122497.0834104503,-146.49701310041218
1142906.1212906402,-151.28012802737015
1163315.1591708302,-167.25242633499153
1183724.1970510203,-155.68927929585416
1204133.2349312103,-155.16327373397337
1224542.2728114002,-164.48101577327864
1244951.3106915902,-164.4976710105978
1265360.3485717804,-169.5415139392054
1285769.3864519703,-161.8902055145075
1306178.4243321603,-165.0527746556072
1326587.4622123502,-162.04295472883783
1346996.5000925402,-160.05051869709067
1367405.5379727304,-171.12456969471052
1387814.5758529203,-161.2503412844447
1408223.6137331103,-167.6801816468681
1428632.6516133002,-171.34681740979488
1449041.6894934904,-170.13661452803052
1469450.7273736803,-170.18480557705075
1489859.7652538703,-171.17250678623157
1510268.8031340602,-180.67925072814108
1530677.8410142504,-176.2025837653021
1551086.8788944404,-164.99434909360005
1571495.9167746303,-167.1354655514671
1591904.9546548203,-170.03486432183416
1612313.9925350104,-168.5114801532634
1632723.0304152004,-166.29204436628103
1653132.0682953903,-163.9674560327518
1673541.1061755803,-166.05917830943199
1693950.1440557702,-172.5418041884733
1714359.1819359604,-172.22104676374457
1734768.2198161504,-164.3410738166514
1755177.2576963403,-171.48979128239853
1775586.2955765303,-168.75949058611738
1795995.3334567205,-167.46972570392163
1816404.3713369104,-166.75317701315242
1836813.4092171004,-160.96268854091534
1857222.4470972903,-176.5361374735557
1877631.4849774805,-155.9170224538499
1898040.5228576704,-151.42158462188002
1918449.5607378604,-147.3062183627713
1938858.5986180503,-137.89486192211692
1959267.6364982403,-130.57407268912434
1979676.6743784305,-113.7028864547728
2000085.7122586204,-108.89853957163778
