edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ps
0,8.500066072597803e-05,8.500059831093323e-05,6.241504480162149e-11,62.41504480162149
1,8.50084600709092e-05,8.500841080124755e-05,4.926966164993577e-11,49.26966164993577
2,8.501626227564008e-05,8.501622329156186e-05,3.8984078216249355e-11,38.98407821624936
3,8.502406676841052e-05,8.502403578187618e-05,3.098653434560722e-11,30.986534345607218
4,8.503187328606653e-05,8.50318482721905e-05,2.5013876023913263e-11,25.013876023913262
5,8.503968071991656e-05,8.503966076250482e-05,1.9957411743426132e-11,19.957411743426132
6,8.50474889086371e-05,8.504747325281914e-05,1.5655817967151498e-11,15.655817967151497
7,8.505529768272987e-05,8.505528574313345e-05,1.1939596422792289e-11,11.939596422792288
8,8.506310691008735e-05,8.506309823344777e-05,8.67663958284867e-12,8.67663958284867
9,8.507091651957575e-05,8.507091072376208e-05,5.795813674620334e-12,5.795813674620334
10,8.507872647319741e-05,8.507872321407641e-05,3.2591210033813594e-12,3.2591210033813596
11,8.508653672309784e-05,8.508653570439072e-05,1.0187071214052178e-12,1.018707121405218
12,8.509434723455679e-05,8.509434819470504e-05,-9.601482448393323e-13,-0.9601482448393324
13,8.510215797518853e-05,8.510216068501935e-05,-2.709830824108155e-12,-2.7098308241081552
14,8.51099689180667e-05,8.510997317533367e-05,-4.257266967090308e-12,-4.257266967090309
15,8.5117780044707e-05,8.511778566564798e-05,-5.620940979126481e-12,-5.620940979126481
16,8.51255914068087e-05,8.512559815596231e-05,-6.749153614746076e-12,-6.749153614746076
17,8.513340290704404e-05,8.513341064627663e-05,-7.739232578113363e-12,-7.739232578113364
18,8.514121453910486e-05,8.514122313659094e-05,-8.597486082728515e-12,-8.597486082728516
19,8.514902629587598e-05,8.514903562690526e-05,-9.331029273111103e-12,-9.331029273111103
20,8.515683815872604e-05,8.515684811721957e-05,-9.958493526626514e-12,-9.958493526626514
21,8.51646501161077e-05,8.516466060753389e-05,-1.0491426179170387e-11,-10.491426179170388
22,8.517246225445327e-05,8.517247309784821e-05,-1.0843394945260302e-11,-10.843394945260302
23,8.518027444961059e-05,8.518028558816253e-05,-1.1138551937640318e-11,-11.138551937640319
24,8.518808672416069e-05,8.518809807847684e-05,-1.1354316152403428e-11,-11.35431615240343
25,8.519589904332214e-05,8.519591056879116e-05,-1.1525469012083402e-11,-11.525469012083402
26,8.520371149491582e-05,8.520372305910547e-05,-1.1564189652817936e-11,-11.564189652817936
27,8.521152401016894e-05,8.521153554941979e-05,-1.1539250847998952e-11,-11.539250847998952
28,8.521933656320954e-05,8.521934803973412e-05,-1.1476524575255292e-11,-11.476524575255292
29,8.52271491537362e-05,8.522716053004843e-05,-1.137631222923838e-11,-11.37631222923838
30,8.5234961855648e-05,8.523497302036275e-05,-1.1164714738949403e-11,-11.164714738949403
31,8.524277459272096e-05,8.524278551067706e-05,-1.091795609786827e-11,-10.91795609786827
32,8.525058735584685e-05,8.525059800099138e-05,-1.0645144525815708e-11,-10.645144525815708
33,8.525840013629984e-05,8.525841049130569e-05,-1.0355005844506204e-11,-10.355005844506204
34,8.526621303051183e-05,8.526622298162002e-05,-9.951108185373032e-12,-9.951108185373032
35,8.527402593074714e-05,8.527403547193433e-05,-9.541187186860508e-12,-9.541187186860508
36,8.528183881511944e-05,8.528184796224865e-05,-9.147129204543728e-12,-9.147129204543727
37,8.528965179404872e-05,8.528966045256296e-05,-8.658514237372047e-12,-8.658514237372048
38,8.529746479355784e-05,8.529747294287728e-05,-8.149319432453223e-12,-8.149319432453224
39,8.530527779924068e-05,8.530528543319159e-05,-7.633950909313724e-12,-7.633950909313724
40,8.531309081662725e-05,8.531309792350591e-05,-7.1068786541152055e-12,-7.106878654115206
41,8.532090390905223e-05,8.532091041382024e-05,-6.5047680076174445e-12,-6.504768007617445
42,8.532871697703585e-05,8.532872290413455e-05,-5.92709869332435e-12,-5.92709869332435
43,8.533653004014933e-05,8.533653539444887e-05,-5.3542995338748976e-12,-5.354299533874897
44,8.534434320006555e-05,8.534434788476318e-05,-4.684697627400566e-12,-4.684697627400566
45,8.535215633966648e-05,8.53521603750775e-05,-4.0354110133432895e-12,-4.03541101334329
46,8.535996944763861e-05,8.535997286539181e-05,-3.4177531922951566e-12,-3.4177531922951565
47,8.536778264605151e-05,8.536778535570614e-05,-2.709654627702599e-12,-2.7096546277025992
48,8.537559582182875e-05,8.537559784602045e-05,-2.024191697254015e-12,-2.024191697254015
49,8.538340896505681e-05,8.538341033633477e-05,-1.3712779525913244e-12,-1.3712779525913243
50,8.539122218843971e-05,8.539122282664908e-05,-6.382093717097421e-13,-0.6382093717097421
51,8.539903540834545e-05,8.53990353169634e-05,9.138205083193481e-14,0.09138205083193482
52,8.540684857839107e-05,8.540684780727771e-05,7.711133600482014e-13,0.7711133600482014
53,8.541466182037322e-05,8.541466029759204e-05,1.5227811852532837e-12,1.5227811852532838
54,8.542247506565408e-05,8.542247278790636e-05,2.2777477226732075e-12,2.2777477226732077
55,8.543028826131715e-05,8.543028527822067e-05,2.9830964795057987e-12,2.983096479505799
56,8.543810150867295e-05,8.543809776853498e-05,3.740137963043425e-12,3.7401379630434253
57,8.54459147696847e-05,8.54459102588493e-05,4.510835406624376e-12,4.510835406624376
58,8.545372799303472e-05,8.545372274916361e-05,5.2438711090750774e-12,5.243871109075077
59,8.546154124114674e-05,8.546153523947794e-05,6.001668796522958e-12,6.001668796522958
60,8.546935451020127e-05,8.546934772979226e-05,6.780409014449732e-12,6.780409014449732
61,8.547716774735201e-05,8.547716022010657e-05,7.527245445038839e-12,7.527245445038839
62,8.54849809935454e-05,8.548497271042089e-05,8.283124514769762e-12,8.283124514769762
63,8.549279427172786e-05,8.54927852007352e-05,9.070992657891746e-12,9.070992657891747
64,8.550060750946197e-05,8.550059769104952e-05,9.818412457012286e-12,9.818412457012286
65,8.550842072888388e-05,8.550841018136385e-05,1.0547520040781964e-11,10.547520040781963
66,8.551623403092501e-05,8.551622267167816e-05,1.1359246852308593e-11,11.359246852308592
67,8.552404727653938e-05,8.552403516199247e-05,1.21145469038693e-11,12.1145469038693
68,8.55318604979526e-05,8.553184765230679e-05,1.2845645814664129e-11,12.84564581466413
69,8.553967379832913e-05,8.55396601426211e-05,1.3655708023490287e-11,13.655708023490286
70,8.554748704622686e-05,8.554747263293542e-05,1.441329144548383e-11,14.41329144548383
71,8.555530025846939e-05,8.555528512324973e-05,1.5135219659307744e-11,15.135219659307744
72,8.556311355222442e-05,8.556309761356406e-05,1.5938660360863462e-11,15.938660360863462
73,8.557092680183094e-05,8.557091010387838e-05,1.6697952566796006e-11,16.697952566796005
74,8.557874000403605e-05,8.557872259419269e-05,1.7409843358879793e-11,17.409843358879794
75,8.55865532932498e-05,8.558653508450701e-05,1.8208742798320893e-11,18.208742798320895
76,8.559436653752835e-05,8.559434757482132e-05,1.8962707031489936e-11,18.962707031489934
77,8.560217972451726e-05,8.560216006513564e-05,1.9659381628841557e-11,19.659381628841558
78,8.560999300479737e-05,8.560997255544996e-05,2.0449347405011702e-11,20.449347405011704
79,8.56178062477353e-05,8.561778504576428e-05,2.1201971022194466e-11,21.201971022194467
80,8.562561943527165e-05,8.56255975360786e-05,2.189919306032803e-11,21.89919306032803
81,8.563343269912655e-05,8.563341002639291e-05,2.267273364792347e-11,22.67273364792347
82,8.564124593662003e-05,8.564122251670722e-05,2.3419912808371827e-11,23.419912808371826
83,8.564905911685743e-05,8.564903500702154e-05,2.410983588906e-11,24.10983588906
84,8.565687236649464e-05,8.565684749733587e-05,2.4869158777914025e-11,24.869158777914024
85,8.566468559704471e-05,8.566465998765018e-05,2.560939453146693e-11,25.609394531466933
86,8.567249876967141e-05,8.56724724779645e-05,2.629170691948007e-11,26.29170691948007
87,8.568031200562791e-05,8.568028496827881e-05,2.7037349101376185e-11,27.037349101376186
88,8.56881252278356e-05,8.568809745859313e-05,2.776924247486543e-11,27.76924247486543
89,8.569593839761867e-05,8.569590994890744e-05,2.84487112309731e-11,28.4487112309731
90,8.570375161411679e-05,8.570372243922177e-05,2.9174895019639183e-11,29.174895019639184
91,8.571156482597723e-05,8.571153492953608e-05,2.9896441147064986e-11,29.896441147064987
92,8.571937799752394e-05,8.57193474198504e-05,3.0577673547741586e-11,30.577673547741586
93,8.572719118603971e-05,8.572715991016471e-05,3.1275874999907664e-11,31.275874999907664
94,8.573500439597664e-05,8.573497240047903e-05,3.1995497617154205e-11,31.995497617154207
95,8.57428175767015e-05,8.574278489079334e-05,3.268590815513913e-11,32.68590815513913
96,8.57506307155883e-05,8.575059738110767e-05,3.333448063233044e-11,33.33448063233044
97,8.575844393124745e-05,8.575840987142199e-05,3.4059825465355455e-11,34.05982546535545
98,8.576625710027521e-05,8.57662223617363e-05,3.4738538912019665e-11,34.73853891201966
99,8.577407023289313e-05,8.577403485205062e-05,3.538084251869714e-11,35.38084251869714
100,8.578188343461166e-05,8.578184734236493e-05,3.6092246734398444e-11,36.092246734398444
101,8.57896965994815e-05,8.578965983267925e-05,3.6766802252178645e-11,36.76680225217864
102,8.579750971338481e-05,8.579747232299356e-05,3.739039125542147e-11,37.39039125542147
103,8.580532290851726e-05,8.580528481330789e-05,3.809520937660579e-11,38.095209376605794
104,8.581313607074759e-05,8.58130973036222e-05,3.876712539064455e-11,38.76712539064455
105,8.582094918871976e-05,8.582090979393652e-05,3.9394783242010385e-11,39.394783242010384
106,8.582876236119048e-05,8.582872228425083e-05,4.0076939653988485e-11,40.07693965398848
107,8.58365755107806e-05,8.583653477456515e-05,4.073621545634174e-11,40.73621545634174
108,8.584438860780139e-05,8.584434726487946e-05,4.134292192742845e-11,41.34292192742845
109,8.585220176652065e-05,8.585215975519379e-05,4.201132686115183e-11,42.01132686115183
110,8.58600149137641e-05,8.58599722455081e-05,4.266825600277043e-11,42.66825600277043
111,8.586782801943223e-05,8.586778473582242e-05,4.328360981288687e-11,43.283609812886866
112,8.587564114464756e-05,8.587559722613674e-05,4.391851082594379e-11,43.91851082594379
113,8.588345428762243e-05,8.588340971645105e-05,4.457117138229415e-11,44.57117138229415
114,8.589126739801437e-05,8.589122220676537e-05,4.5191249007066e-11,45.191249007066
115,8.589908048996479e-05,8.58990346970797e-05,4.5792885098272865e-11,45.79288509827286
116,8.590689363435881e-05,8.590684718739401e-05,4.6446964807504374e-11,46.44696480750437
117,8.591470674320627e-05,8.591465967770832e-05,4.7065497945623936e-11,47.06549794562394
118,8.592251980604835e-05,8.592247216802264e-05,4.763802571571709e-11,47.63802571571709
119,8.593033296054236e-05,8.593028465833695e-05,4.8302205405154076e-11,48.302205405154076
120,8.593814605832572e-05,8.593809714865127e-05,4.8909674449838803e-11,48.9096744498388
121,8.594595911669239e-05,8.59459096389656e-05,4.947772679599426e-11,49.47772679599426
122,8.595377223908425e-05,8.595372212927991e-05,5.0109804343306125e-11,50.10980434330612
123,8.596158534574388e-05,8.596153461959423e-05,5.07261496563093e-11,50.7261496563093
124,8.596939839958003e-05,8.596934710990854e-05,5.1289671487504176e-11,51.28967148750417
125,8.597721150022844e-05,8.597715960022286e-05,5.1900005590639805e-11,51.90000559063981
126,8.598502460662138e-05,8.598497209053717e-05,5.2516084217013604e-11,52.516084217013606
127,8.599283766401698e-05,8.59927845808515e-05,5.308316548394075e-11,53.083165483940746
128,8.600065073288509e-05,8.600059707116581e-05,5.366171927681363e-11,53.66171927681363
129,8.600845021915725e-05,8.600840956148013e-05,4.065767712490444e-11,40.657677124904446
130,8.601625264518312e-05,8.601622205179444e-05,3.0593388678761e-11,30.593388678761002
131,8.6024057351669e-05,8.602403454210876e-05,2.280956024669421e-11,22.80956024669421
132,8.603186409786869e-05,8.603184703242307e-05,1.7065445617217926e-11,17.065445617217925
133,8.603967175766422e-05,8.60396595227374e-05,1.2234926819757267e-11,12.234926819757266
134,8.604748010162002e-05,8.604747201305172e-05,8.088568310940005e-12,8.088568310940005
135,8.605528906200121e-05,8.605528450336603e-05,4.5586351834563576e-12,4.558635183456357
136,8.606309847494457e-05,8.606309699368035e-05,1.4812642244855838e-12,1.4812642244855838
137,8.607090825410774e-05,8.607090948399466e-05,-1.2298869168845281e-12,-1.2298869168845281
138,8.607871836620835e-05,8.607872197430898e-05,-3.608100618159015e-12,-3.608100618159015
139,8.608652876403836e-05,8.608653446462329e-05,-5.7005849257291706e-12,-5.700584925729171
140,8.609433940784163e-05,8.609434695493762e-05,-7.547095988271942e-12,-7.547095988271942
141,8.610215028976044e-05,8.610215944525193e-05,-9.155491493269783e-12,-9.155491493269784
142,8.610996141207392e-05,8.610997193556625e-05,-1.0523492325783384e-11,-10.523492325783383
143,8.611777270551794e-05,8.611778442588056e-05,-1.1720362619629237e-11,-11.720362619629237
144,8.612558415154833e-05,8.612559691619488e-05,-1.276464654166048e-11,-12.764646541660479
145,8.613339574760446e-05,8.613340940650919e-05,-1.3658904733463035e-11,-13.658904733463034
146,8.614120747508978e-05,8.614122189682352e-05,-1.4421733742407498e-11,-14.421733742407497
147,8.614901929954214e-05,8.614903438713784e-05,-1.508759569348784e-11,-15.087595693487842
148,8.615683129840633e-05,8.615684687745215e-05,-1.5579045822235518e-11,-15.579045822235518
149,8.616464339896427e-05,8.616465936776647e-05,-1.596880219177538e-11,-15.96880219177538
150,8.617245558115688e-05,8.617247185808078e-05,-1.6276923897551124e-11,-16.276923897551125
151,8.618026783863597e-05,8.61802843483951e-05,-1.6509759119465508e-11,-16.509759119465507
152,8.618808015409583e-05,8.618809683870942e-05,-1.6684613594440146e-11,-16.684613594440147
153,8.619589262226477e-05,8.619590932902374e-05,-1.670675896591425e-11,-16.706758965914247
154,8.620370512846873e-05,8.620372181933805e-05,-1.6690869319002643e-11,-16.690869319002644
155,8.621151768378243e-05,8.621153430965237e-05,-1.6625869935089204e-11,-16.625869935089202
156,8.621933027078163e-05,8.621934679996668e-05,-1.6529185054393e-11,-16.529185054393
157,8.622714298611402e-05,8.6227159290281e-05,-1.630416697079982e-11,-16.30416697079982
158,8.623495572411621e-05,8.623497178059533e-05,-1.605647911424676e-11,-16.05647911424676
159,8.62427684621901e-05,8.624278427090964e-05,-1.5808719537719987e-11,-15.808719537719988
160,8.625058129225284e-05,8.625059676122396e-05,-1.5468971112471754e-11,-15.468971112471754
161,8.625839416831542e-05,8.625840925153827e-05,-1.508322284862819e-11,-15.083222848628191
162,8.626620706524772e-05,8.626622174185259e-05,-1.4676604858481617e-11,-14.676604858481618
163,8.627401994415458e-05,8.62740342321669e-05,-1.4288012312211282e-11,-14.288012312211283
164,8.628183295572269e-05,8.628184672248123e-05,-1.3766758536391625e-11,-13.766758536391624
165,8.6289645946139e-05,8.628965921279554e-05,-1.326665654207015e-11,-13.26665654207015
166,8.629745892488363e-05,8.629747170310986e-05,-1.277822622808097e-11,-12.77822622808097
167,8.630527198301113e-05,8.630528419342417e-05,-1.2210413043372235e-11,-12.210413043372235
168,8.631308505962307e-05,8.631309668373849e-05,-1.1624115417797539e-11,-11.624115417797539
169,8.63208981156284e-05,8.63209091740528e-05,-1.1058424396211119e-11,-11.05842439621112
170,8.632871121974928e-05,8.632872166436713e-05,-1.0444617851015035e-11,-10.444617851015035
171,8.633652435662664e-05,8.633653415468145e-05,-9.79805480702515e-12,-9.798054807025151
172,8.634433747939911e-05,8.634434664499576e-05,-9.165596650540635e-12,-9.165596650540635
173,8.63521506061783e-05,8.635215913531008e-05,-8.529131770717591e-12,-8.52913177071759
174,8.635996379656312e-05,8.635997162562439e-05,-7.829061262426366e-12,-7.829061262426365
175,8.636777696677154e-05,8.63677841159387e-05,-7.1491671602539e-12,-7.1491671602539
176,8.637559010055452e-05,8.637559660625302e-05,-6.505698497026926e-12,-6.505698497026926
177,8.638340334963713e-05,8.638340909656735e-05,-5.746930218241709e-12,-5.746930218241709
178,8.639121654253577e-05,8.639122158688166e-05,-5.0443458923458854e-12,-5.044345892345885
179,8.639902970313544e-05,8.639903407719598e-05,-4.374060531927073e-12,-4.374060531927073
180,8.640684295587515e-05,8.640684656751029e-05,-3.611635144346372e-12,-3.6116351443463723
181,8.641465618407125e-05,8.641465905782461e-05,-2.8737533563402577e-12,-2.8737533563402575
182,8.642246936399464e-05,8.642247154813892e-05,-2.184144274153763e-12,-2.184144274153763
183,8.643028262601337e-05,8.643028403845325e-05,-1.4124398778051168e-12,-1.4124398778051168
184,8.643809587085889e-05,8.643809652876757e-05,-6.579086746625002e-13,-0.6579086746625002
185,8.644590906685084e-05,8.644590901908188e-05,4.7768961346587224e-14,0.04776896134658722
186,8.645372233798616e-05,8.64537215093962e-05,8.285899665302681e-13,0.8285899665302681
187,8.646153558288178e-05,8.646153399971051e-05,1.5831712733657806e-12,1.5831712733657806
188,8.646934878479499e-05,8.646934649002482e-05,2.2947701711196804e-12,2.2947701711196804
189,8.647716205301697e-05,8.647715898033915e-05,3.0726778166456755e-12,3.0726778166456756
190,8.64849753105689e-05,8.648497147065347e-05,3.839915435568953e-12,3.8399154355689533
191,8.649278851613287e-05,8.649278396096778e-05,4.5551650859831005e-12,4.5551650859831
192,8.650060178418242e-05,8.65005964512821e-05,5.332900329811143e-12,5.332900329811143
193,8.650841502955354e-05,8.650840894159641e-05,6.087957127061926e-12,6.087957127061927
194,8.65162282342227e-05,8.651622143191073e-05,6.802311971870594e-12,6.802311971870594
195,8.652404148493375e-05,8.652403392222506e-05,7.56270869521383e-12,7.56270869521383
196,8.653185474332979e-05,8.653184641253937e-05,8.330790419738497e-12,8.330790419738497
197,8.653966795645738e-05,8.653965890285368e-05,9.053603694900864e-12,9.053603694900865
198,8.654748119169648e-05,8.6547471393168e-05,9.798528487324499e-12,9.798528487324498
199,8.655529444573299e-05,8.655528388348231e-05,1.0562250675571182e-11,10.562250675571182
200,8.656310766352927e-05,8.656309637379663e-05,1.1289732647261017e-11,11.289732647261017
201,8.657092088164251e-05,8.657090886411096e-05,1.2017531558350924e-11,12.017531558350925
