offset_frequency_hz,phase_noise_dbc_per_hz
15384.63445798401,-94.65167936425536
30769.26891596802,-107.39569568448962
46153.90337395203,-103.31689284082188
61538.53783193604,-106.71316988662318
76923.17228992005,-106.7888555189931
92307.80674790406,-109.7852852892659
107692.44120588807,-114.10003547378028
123077.07566387208,-122.34755699423263
138461.7101218561,-120.84728361270857
153846.3445798401,-113.85586267277577
169230.97903782412,-115.10942626265647
184615.61349580812,-117.44498943518357
200000.24795379213,-112.69494182670687
215384.88241177614,-113.9503610295742
230769.51686976015,-117.14959906235188
246154.15132774416,-112.22422008718715
261538.78578572816,-120.47121444279512
276923.4202437122,-117.84345878169927
292308.0547016962,-115.46577860685954
307692.6891596802,-113.78920387328179
323077.3236176642,-116.87300331525051
338461.95807564823,-122.7881375797333
353846.59253363224,-127.91241422191062
369231.22699161625,-122.07675527933196
384615.86144960026,-119.4621168911256
400000.49590758426,-116.34785704504901
415385.1303655683,-115.66079253630514
430769.7648235523,-122.91089186884292
446154.3992815363,-121.69913256760965
461539.0337395203,-116.69121211129851
476923.6681975043,-123.17141427540054
492308.3026554883,-128.6075122476638
507692.9371134723,-128.5098766219424
523077.5715714563,-124.94940093488567
538462.2060294404,-118.34016037064066
553846.8404874244,-123.52326795061214
569231.4749454084,-126.70262525237426
584616.1094033924,-119.53985030235386
600000.7438613764,-120.65411417272819
615385.3783193604,-124.54971584648604
630770.0127773444,-127.74875190997925
646154.6472353284,-134.27285776161384
661539.2816933125,-130.48888818856724
676923.9161512965,-125.27157038185271
692308.5506092805,-122.63361049199302
707693.1850672645,-124.96070707254434
723077.8195252485,-127.96014889061163
738462.4539832325,-132.4470712791258
753847.0884412165,-124.47118917184609
769231.7228992005,-129.30272904790974
784616.3573571845,-128.04064289292182
800000.9918151685,-127.34811400461169
815385.6262731525,-132.62927501782877
830770.2607311365,-132.24337558561064
846154.8951891206,-131.55577170504978
861539.5296471046,-138.72070998398306
876924.1641050886,-143.84478087246316
892308.7985630726,-136.79801571705275
907693.4330210566,-133.36903134212466
923078.0674790406,-132.26501963471404
938462.7019370246,-136.8170464213225
953847.3363950086,-131.45347071838273
969231.9708529926,-135.60996721774077
984616.6053109766,-90.81603492037405
1000001.2397689606,-84.59407227339979
1015385.8742269446,-90.58649156005919
1030770.5086849286,-134.89848671883468
1046155.1431429127,-132.45866248142414
1061539.7776008968,-139.33556919242562
1076924.4120588808,-134.09475442382836
1092309.0465168648,-136.13667468246274
1107693.6809748488,-139.1117556570459
1123078.3154328328,-147.5128395167714
1138462.9498908168,-142.93818440783377
1153847.5843488008,-135.99739150107195
1169232.2188067848,-136.84333598887227
1184616.8532647688,-138.08343964741965
1200001.4877227528,-133.07026274677816
1215386.1221807369,-133.97169288921538
1230770.7566387209,-136.2712260365098
1246155.3910967049,-131.30851644225632
1261540.0255546889,-139.33269073055985
1276924.660012673,-135.98803280606063
1292309.294470657,-133.2752382530741
1307693.928928641,-131.37613593152574
1323078.563386625,-134.26654133896537
1338463.197844609,-139.77682630115902
1353847.832302593,-144.31452195974788
1369232.466760577,-138.45593139871346
1384617.101218561,-135.645895960981
1400001.735676545,-132.29336761140564
1415386.370134529,-131.4329835532079
1430771.004592513,-138.6898906877655
1446155.639050497,-136.83660310643293
1461540.273508481,-131.74941330064516
1476924.907966465,-138.27542620530818
1492309.542424449,-142.92106255814866
1507694.176882433,-143.09423650103946
1523078.811340417,-139.02928181475485
1538463.445798401,-132.51127068693452
1553848.080256385,-137.73833210245647
1569232.714714369,-140.49653212173573
1584617.349172353,-133.25451269395728
1600001.983630337,-134.26022425483734
1615386.618088321,-137.98140539498388
1630771.252546305,-141.0479532314022
1646155.887004289,-147.39169165205715
1661540.521462273,-143.29955601473608
1676925.155920257,-138.00187708964697
1692309.790378241,-135.28792991974527
1707694.424836225,-137.517029521214
1723079.0592942091,-140.51666568582635
1738463.6937521931,-144.57507970314333
1753848.3282101771,-136.56630852310562
1769232.9626681611,-141.30099806431872
1784617.5971261451,-139.9884657916556
1800002.2315841292,-139.25211193206863
1815386.8660421132,-144.40697537656393
1830771.5005000972,-143.8181320068728
1846156.1349580812,-143.13644616862018
1861540.7694160652,-150.22365946332104
1876925.4038740492,-155.37888070116998
1892310.0383320332,-148.24095052290417
1907694.6727900172,-144.59049893283904
1923079.3072480012,-143.1896323421468
1938463.9417059852,-147.79140337430547
1953848.5761639692,-142.10722066351173
1969233.2106219532,-146.2078372797309
1984617.8450799373,-98.66745762485064
2000002.4795379213,-92.50096648683402
2015387.1139959053,-98.5099914594957
2030771.7484538893,-145.44744457782213
2046156.3829118733,-142.86276770069753
2061541.0173698573,-149.35476275168043
2076925.6518278413,-144.4046777564241
2092310.2862858253,-146.1849003099425
2107694.9207438095,-149.0597807671064
2123079.5552017936,-157.24047567697352
2138464.1896597776,-152.42712993605096
2153848.8241177616,-145.64867861892242
2169233.4585757456,-146.4452728193827
2184618.0930337296,-147.46071782973897
2200002.7274917136,-142.4916302767396
2215387.3619496976,-143.38874934043636
2230771.9964076816,-145.34780274208433
2246156.6308656656,-140.49760540905424
2261541.2653236496,-148.45672922848
2276925.8997816336,-145.08842379903544
2292310.5342396176,-142.3506202678514
2307695.1686976016,-140.4081620824074
2323079.8031555857,-143.21794518164046
2338464.4376135697,-148.71346775238968
2353849.0720715537,-153.22742955793404
2369233.7065295377,-147.2041357289945
2384618.3409875217,-144.24638313958152
2400002.9754455057,-140.85880443750952
2415387.6099034897,-140.00169556283345
2430772.2443614737,-147.2286258468608
2446156.8788194577,-145.12240935300375
2461541.5132774417,-140.02941565922717
2476926.1477354257,-146.52390380027649
2492310.7821934097,-151.16093124527833
2507695.4166513938,-151.46120399145767
2523080.0511093778,-146.91537790566042
2538464.685567362,-140.5277907113553
2553849.320025346,-145.7181846016788
2569233.95448333,-148.43777121499627
2584618.588941314,-141.12573238256186
2600003.223399298,-142.0981325992309
2615387.857857282,-145.76215856203228
2630772.492315266,-148.75147769404253
2646157.12677325,-154.80058885719745
2661541.761231234,-150.89935566543912
2676926.395689218,-145.57463732014745
2692311.030147202,-142.8326160684269
2707695.664605186,-144.89239178386637
2723080.29906317,-147.8389923311487
2738464.933521154,-152.045822297749
2753849.567979138,-143.87548741273218
2769234.202437122,-148.593352370559
2784618.836895106,-147.14255341756012
2800003.47135309,-146.32126528093585
2815388.105811074,-151.2756340815253
2830772.740269058,-150.70448112358457
2846157.374727042,-150.16113844225902
2861542.009185026,-157.19545985674776
2876926.64364301,-162.00155178098998
2892311.278100994,-155.0151520951385
2907695.912558978,-151.40915781804205
2923080.547016962,-149.89116637407898
2938465.181474946,-154.56301424268622
2953849.81593293,-148.82293257595387
2969234.450390914,-152.9319343674884
2984619.084848898,-103.85752571845408
3000003.719306882,-97.71525830634741
3015388.353764866,-103.72900730870705
3030772.98822285,-152.03363153357625
3046157.622680834,-149.64527167339557
3061542.257138818,-155.87032156285724
3076926.891596802,-150.8968868121051
3092311.526054786,-152.71337915528764
3107696.16051277,-155.58329234571042
3123080.794970754,-163.5802291464559
3138465.429428738,-158.89037503694286
3153850.063886722,-151.98543452382043
3169234.698344706,-152.8330762963275
3184619.33280269,-153.87264762949437
3200003.967260674,-148.79447047287553
3215388.601718658,-149.5559802299314
3230773.236176642,-151.4652358568212
3246157.870634626,-146.60724214570763
3261542.50509261,-154.4553004251143
3276927.139550594,-151.2690732160033
3292311.774008578,-148.38208142587436
3307696.408466562,-146.273190746233
3323081.042924546,-149.00947444060887
3338465.67738253,-154.39617929751012
3353850.311840514,-159.21598715655676
3369234.946298498,-153.16849194750787
3384619.580756482,-150.2605252032079
3400004.215214466,-146.8358172360119
3415388.84967245,-145.88465527741562
3430773.484130434,-153.0607316677861
3446158.1185884182,-150.8934900119248
3461542.7530464022,-145.79789222085913
3476927.3875043862,-152.42068624019137
3492312.0219623703,-156.55072995529866
3507696.6564203543,-156.8794775813389
3523081.2908783383,-152.65203876768476
3538465.9253363223,-146.09054970313008
3553850.5597943063,-151.34328406003235
3569235.1942522903,-154.05348633215695
3584619.8287102743,-146.61217917676328
3600004.4631682583,-147.53476108766296
3615389.0976262423,-151.18175831306425
3630773.7320842263,-154.12882883011446
3646158.3665422103,-160.43107641545043
3661543.0010001943,-156.74358848559368
3676927.6354581784,-151.11221580828064
3692312.2699161624,-148.26912930849323
3707696.9043741464,-150.44694804083264
3723081.5388321304,-153.3793745301196
3738466.1732901144,-157.71013091915935
3753850.8077480984,-149.18283333144493
3769235.4422060824,-153.82161306669974
3784620.0766640664,-152.17251738751173
3800004.7111220504,-151.43339368812323
3815389.3455800344,-156.63512412009806
3830773.9800380184,-156.13853305261432
3846158.6144960024,-155.40340652116973
3861543.2489539864,-162.00162243089318
3876927.8834119705,-168.25590405661129
3892312.5178699545,-160.6511484866452
3907697.1523279385,-156.52960617992062
3923081.7867859225,-154.50766734539923
3938466.4212439065,-158.83907999649165
3953851.0557018905,-153.5407694585457
3969235.6901598745,-157.79959153124247
3984620.3246178585,-107.64859465262391
4000004.9590758425,-101.52174270128992
4015389.5935338265,-107.53745142222581
4030774.2279918105,-156.7595534038919
4046158.8624497945,-154.827762529824
4061543.4969077785,-161.30948227790793
4076928.1313657626,-156.127130165257
4092312.7658237466,-157.63170065581107
4107697.4002817306,-159.84258555278606
4123082.0347397146,-167.6147001309597
4138466.6691976986,-163.46160802703
4153851.3036556826,-156.6528218389673
4169235.9381136666,-157.6367129243563
4184620.5725716506,-158.56088554865119
4200005.207029635,-153.4922995008502
4215389.841487619,-154.32849455877917
4230774.475945603,-155.97037960842974
4246159.110403587,-151.2131452082738
4261543.744861571,-159.00470740311465
4276928.379319555,-155.50589421663688
4292313.013777539,-152.6600409458632
4307697.648235523,-150.77785041255945
4323082.282693507,-153.64406057047415
4338466.917151491,-158.80933559480903
4353851.551609475,-163.4113077399675
4369236.186067459,-157.64182819614552
4384620.820525443,-154.64408276801205
4400005.454983427,-151.18673700759115
4415390.089441411,-150.16300390242034
4430774.723899395,-157.1161080924223
4446159.358357379,-155.17941489642965
4461543.992815363,-150.00738691299136
4476928.627273347,-156.46741580667148
4492313.261731331,-161.0523929770883
4507697.896189315,-161.5036276509726
4523082.530647299,-156.59851274120425
4538467.165105283,-150.27024142894447
4553851.799563267,-155.5414039102107
4569236.434021251,-158.18542759537277
4584621.068479235,-150.69447313988195
4600005.702937219,-151.56559109598487
4615390.337395203,-155.19136338610684
4630774.971853187,-158.14691874577755
4646159.606311171,-164.32409060624266
4661544.240769155,-160.90228899201713
4676928.875227139,-155.06540641709282
4692313.509685123,-152.07119956510158
4707698.144143107,-154.18374594399796
4723082.778601091,-157.3170956817567
4738467.413059075,-161.53142785128122
4753852.047517059,-153.15618606108782
4769236.681975043,-157.99515862945972
4784621.316433027,-156.24068322674648
4800005.950891011,-155.41635019743907
4815390.585348995,-160.53244598495291
4830775.219806979,-160.06153929401233
4846159.854264963,-159.59022028001337
4861544.488722947,-167.0507434620896
4876929.123180931,-170.39450008303902
4892313.757638915,-164.25001015325915
4907698.392096899,-159.92660214543034
4923083.026554883,-157.7183469284285
4938467.661012867,-161.76946378894309
4953852.2954708515,-156.99389568342178
4969236.9299288355,-162.33709925771205
4984621.5643868195,-110.64028890550298
5000006.1988448035,-104.52397465370332
5015390.8333027875,-110.54051672108793
5030775.4677607715,-160.85981796107325
5046160.1022187555,-158.21693074104905
5061544.7366767395,-164.61239021467054
5076929.371134724,-160.0569633746021
5092314.005592708,-161.74622600315533
5107698.640050692,-163.91137872864033
5123083.274508676,-172.4271458178996
5138467.90896666,-167.08588825788982
5153852.543424644,-160.35020970022538
5169237.177882628,-161.3089714553995
5184621.812340612,-162.140415435221
5200006.446798596,-157.17059578673906
5215391.08125658,-158.14185891216025
5230775.715714564,-159.72494784823803
5246160.350172548,-154.83827336655077
5261544.984630532,-162.29768982571608
5276929.619088516,-158.86282854321396
5292314.2535465,-156.28754912273965
5307698.888004484,-154.65748022112297
5323083.522462468,-157.67311678625327
5338468.156920452,-162.76026550035039
5353852.791378436,-166.56223290267945
5369237.42583642,-161.24722570753448
5384622.060294404,-158.08110926827973
5400006.694752388,-154.61235614827206
5415391.329210372,-153.6585892581908
5430775.963668356,-160.9154304836646
5446160.59812634,-158.31839494266936
5461545.232584324,-153.44467781512418
5476929.867042308,-159.94920627176944
5492314.501500292,-163.97072570914304
5507699.135958276,-164.30413220477462
5523083.77041626,-160.46889757391824
5538468.404874244,-153.64861353032651
5553853.039332228,-159.1831966645506
5569237.673790212,-161.31293257752728
5584622.308248196,-154.03046685464844
5600006.94270618,-154.99614893028473
5615391.577164164,-158.629277112674
5630776.211622148,-161.7830936854055
5646160.846080132,-167.31785638979068
5661545.480538116,-163.93806957314064
5676930.1149961,-158.66462865100968
5692314.749454084,-155.57023481499047
5707699.383912068,-157.45100525680857
5723084.018370052,-160.5716176809732
5738468.652828036,-165.19800111849293
5753853.28728602,-156.70369921540077
5769237.921744004,-161.8168328184231
5784622.556201988,-159.43550668270905
5800007.190659972,-158.96024391886758
5815391.825117956,-164.23234967453914
5830776.45957594,-163.2305761202602
5846161.094033924,-162.81900928635937
5861545.728491908,-169.96882261562985
5876930.362949892,-175.34405369449195
5892314.997407876,-167.70954706278647
5907699.63186586,-163.09466331972445
5923084.266323844,-160.75111007576885
5938468.900781828,-164.91183861823453
5953853.535239812,-159.9729323573841
5969238.169697796,-166.1498948092131
5984622.80415578,-113.08302123005893
6000007.438613764,-106.97441782592172
6015392.073071748,-112.98989323106134
6030776.707529732,-164.10511132855873
6046161.341987716,-161.7038928638212
6061545.9764457,-168.40162038135423
6076930.610903684,-163.35958491033273
6092315.245361668,-164.6924067933038
6107699.879819652,-166.48263874142663
6123084.514277636,-174.08992632108553
6138469.14873562,-170.64966097234588
6153853.783193604,-163.0611707306109
6169238.417651588,-164.29296645592348
6184623.052109572,-165.87787996049386
6200007.686567556,-160.52575298508327
6215392.32102554,-161.2213803093921
6230776.955483524,-163.15248322987972
6246161.589941508,-158.07171690451577
6261546.224399492,-165.63458309871822
6276930.858857476,-161.85957625650872
6292315.49331546,-159.22930044647802
6307700.127773444,-157.48567707468908
6323084.762231428,-160.32980342376175
6338469.396689412,-165.11604001403038
6353854.031147396,-169.48728534320466
6369238.66560538,-164.1158454604548
6384623.300063364,-161.16216431595487
6400007.934521348,-157.64762913787345
6415392.568979332,-156.57522571263732
6430777.203437316,-163.7870385718405
6446161.8378953,-161.29084047571834
6461546.472353284,-156.36390755524286
6476931.106811268,-163.14267967312912
6492315.741269252,-167.34021312061915
6507700.375727236,-167.03267585030397
6523085.01018522,-163.5924392228291
6538469.644643204,-156.8076099491695
6553854.279101188,-162.606724761481
6569238.913559172,-163.6908320529696
6584623.548017156,-156.75448038384081
6600008.18247514,-157.8979344324274
6615392.816933124,-161.54888718575418
6630777.451391108,-164.25260703492938
6646162.085849092,-170.04393222519568
6661546.720307076,-167.9689328032633
6676931.35476506,-161.4452398772571
6692315.989223044,-158.1271901323973
6707700.623681028,-160.22896395163386
6723085.258139012,-163.40566146048317
6738469.892596996,-168.71912130689122
6753854.52705498,-159.76853580199815
6769239.161512964,-164.81846441709266
6784623.795970948,-162.09981597598505
6800008.430428932,-161.39827127013362
6815393.064886916,-167.50166671813173
6830777.6993449,-166.28368408145536
6846162.333802884,-164.9513880311187
6861546.968260868,-172.08984591074255
6876931.602718852,-178.06155710200898
6892316.2371768365,-170.73577580567752
6907700.8716348205,-165.67954518562047
6923085.5060928045,-163.09242247733062
6938470.1405507885,-167.47685827003207
6953854.7750087725,-162.8858665696481
6969239.4094667565,-168.1985366401338
6984624.0439247405,-115.17652301596924
7000008.6783827245,-109.07260132400565
7015393.3128407085,-115.08942064017907
7030777.947298693,-166.08928833003642
7046162.581756677,-164.67919202644185
7061547.216214661,-169.05799622895375
7076931.850672645,-164.98036208131808
7092316.485130629,-167.1635580034233
7107701.119588613,-168.32645489310576
7123085.754046597,-177.2839778458232
7138470.388504581,-174.6236778385294
7153855.022962565,-166.43538166648779
7169239.657420549,-166.50929220526282
7184624.291878533,-168.10115579258368
7200008.926336517,-163.172319607828
7215393.560794501,-164.01985259235317
7230778.195252485,-165.32497038965607
7246162.829710469,-160.6187606106895
7261547.464168453,-168.77514860024192
7276932.098626437,-164.15485027599956
7292316.733084421,-161.2697861346677
7307701.367542405,-160.03538383530056
7323086.002000389,-163.4857156137107
7338470.636458373,-168.65557998504534
7353855.270916357,-171.88412269206967
7369239.905374341,-167.33092802197683
7384624.539832325,-163.9304721310221
7400009.174290309,-160.2531805449521
7415393.808748293,-159.100374704462
7430778.443206277,-165.93904682246693
7446163.077664261,-163.96365863813443
7461547.712122245,-158.9795757375487
7476932.346580229,-165.90116977332497
7492316.981038213,-168.90729663857206
