period_number,period_s,period_error_s,period_error_ps
0,3.3299215746924213e-09,-3.411699129823176e-12,-3.411699129823176
1,3.3333082289171653e-09,-2.5044905079164887e-14,-0.025044905079164886
2,3.3326688696546107e-09,-6.644041676337445e-13,-0.6644041676337444
3,3.333309322096193e-09,-2.395172605150438e-14,-0.02395172605150438
4,3.3334384347777715e-09,1.051609555270529e-13,0.1051609555270529
5,3.333530861422248e-09,1.9758760000356721e-13,0.1975876000035672
6,3.3336224833600136e-09,2.892095377692015e-13,0.2892095377692015
7,3.333697196697337e-09,3.639228750927375e-13,0.3639228750927375
8,3.3337016639084434e-09,3.683900861989752e-13,0.36839008619897523
9,3.333787672314922e-09,4.5439849267766646e-13,0.45439849267766647
10,3.3337997988875225e-09,4.665250652780211e-13,0.46652506527802107
11,3.3337744820044653e-09,4.41208182220832e-13,0.441208182220832
12,3.3338370240949767e-09,5.037502727323093e-13,0.5037502727323093
13,3.333807520527961e-09,4.742467057166178e-13,0.4742467057166178
14,3.3337669420983336e-09,4.336682760892005e-13,0.4336682760892005
15,3.333832082877457e-09,4.988090552125245e-13,0.4988090552125245
16,3.333792872084167e-09,4.595982619224029e-13,0.45959826192240294
17,3.3338865744212483e-09,5.533005990038544e-13,0.5533005990038544
18,3.333808786552532e-09,4.75512730287495e-13,0.475512730287495
19,3.333818374613129e-09,4.851007908847076e-13,0.48510079088470764
20,3.3338415879271313e-09,5.083141048868403e-13,0.5083141048868403
21,3.3337796080987843e-09,4.463342765398163e-13,0.44633427653981633
22,3.333828654694562e-09,4.953808723176293e-13,0.49538087231762934
23,3.3337987742097433e-09,4.655003874988709e-13,0.4655003874988709
24,3.3337522797411762e-09,4.1900591893179406e-13,0.41900591893179406
25,3.3338295908946677e-09,4.963170724232411e-13,0.4963170724232411
26,3.3337462966561907e-09,4.1302283394622753e-13,0.4130228339462275
27,3.33377540115888e-09,4.4212733663541323e-13,0.4421273366354132
28,3.3337779018102043e-09,4.4462798795987884e-13,0.44462798795987885
29,3.325891769045394e-09,-7.44150477685036e-12,-7.44150477685036
