offset_frequency_hz,phase_noise_dbc_per_hz
36.011712873802516,-41.94157090613074
72.02342574760503,-44.73861863908898
108.03513862140755,-51.73987188342879
144.04685149521006,-56.730928672300315
180.05856436901257,-61.604753047928995
216.0702772428151,-65.18831335311093
252.08199011661762,-67.35927573501604
288.0937029904201,-70.1594523080211
324.10541586422266,-72.66411086746643
360.11712873802514,-74.2660579434149
396.1288416118277,-75.41102788854538
432.1405544856302,-76.82762430374137
468.1522673594327,-78.73835097568
504.16398023323524,-79.87738522948004
540.1756931070378,-80.4632596798622
576.1874059808403,-81.87194062596421
612.1991188546427,-83.31692214928526
648.2108317284453,-83.99880958744626
684.2225446022478,-84.86755296329864
720.2342574760503,-86.96397852670634
756.2459703498529,-87.86559732676368
792.2576832236554,-86.56441664060553
828.2693960974578,-87.81607444027442
864.2811089712604,-89.6669016504971
900.2928218450629,-88.82761265102788
936.3045347188654,-89.38379683965694
972.3162475926679,-90.17519215971758
1008.3279604664705,-92.66410537823984
1044.339673340273,-91.52162937760728
1080.3513862140755,-92.64320655107431
1116.363099087878,-100.43425600024665
1152.3748119616805,-94.62631965878575
1188.386524835483,-94.28497323195768
1224.3982377092855,-95.86891194628613
1260.409950583088,-97.39517843540567
1296.4216634568907,-94.554810662423
1332.4333763306931,-91.76161354535948
1368.4450892044956,-94.76147147357275
1404.456802078298,-95.82737380794539
1440.4685149521006,-96.67176164548552
1476.480227825903,-102.21194034524672
1512.4919406997058,-103.13764958610142
1548.5036535735082,-98.76775140373954
1584.5153664473107,-112.17046774689685
1620.5270793211132,-102.78234953872305
1656.5387921949157,-98.49174243559615
1692.5505050687182,-98.18234999456449
1728.5622179425209,-99.82533638901067
1764.5739308163234,-98.84638010416106
1800.5856436901258,-95.03400997470457
1836.5973565639283,-96.99990394925216
1872.6090694377308,-98.66030267851023
1908.6207823115333,-102.10672901145266
1944.6324951853358,-104.17412989487346
1980.6442080591385,-101.12528796464227
2016.655920932941,-98.33516319443044
2052.667633806743,-105.95741309416559
2088.679346680546,-101.36924537950324
2124.6910595543486,-102.17227029370741
2160.702772428151,-101.53853624617591
2196.7144853019536,-97.61525381541605
2232.726198175756,-98.73483519421643
2268.7379110495585,-102.93535263617187
2304.749623923361,-109.94688721250998
2340.7613367971635,-97.16486607413628
2376.773049670966,-98.62776686475384
2412.7847625447685,-108.91142361891093
2448.796475418571,-104.7599230365177
2484.8081882923734,-108.13624672223987
2520.819901166176,-106.6515791007159
2556.831614039979,-98.1082140471535
2592.8433269137813,-100.01251105850606
2628.855039787584,-105.8201368912463
2664.8667526613863,-98.83344902187203
2700.8784655351888,-101.89996058654783
2736.8901784089912,-102.58746593819535
2772.9018912827937,-99.29451280082125
2808.913604156596,-107.48315542182289
2844.9253170303987,-102.70142600543709
2880.937029904201,-105.22566807350853
2916.9487427780036,-108.50605876247133
2952.960455651806,-99.87679088306652
2988.9721685256086,-101.0165622828845
3024.9838813994115,-117.90002626776396
3060.995594273214,-101.84502060747334
3097.0073071470165,-100.08890760663814
3133.019020020819,-104.55172198721232
3169.0307328946215,-121.14093749491681
3205.042445768424,-108.35840155940903
3241.0541586422264,-110.50869168053892
3277.065871516029,-112.70626676741566
3313.0775843898314,-110.62065280001491
3349.089297263634,-108.03588135713554
3385.1010101374363,-100.59183849990511
3421.112723011239,-102.26794915786606
3457.1244358850417,-108.18614218054753
3493.1361487588442,-104.19541001016225
3529.1478616326467,-105.26457070433537
3565.159574506449,-105.32827795508418
3601.1712873802517,-107.5188414932293
3637.183000254054,-105.76374973234586
3673.1947131278566,-105.11454830049031
3709.206426001659,-106.74155024738062
3745.2181388754616,-106.0983587816436
3781.229851749264,-106.90681182236597
3817.2415646230666,-117.37825308888908
3853.253277496869,-111.30421316374749
3889.2649903706715,-106.11946483582852
3925.2767032444744,-105.92084538161865
3961.288416118277,-110.13097835213985
3997.3001289920794,-114.92556834453626
4033.311841865882,-110.19059062825934
4069.3235547396844,-111.31112832928585
4105.335267613486,-109.72063842989522
4141.346980487289,-105.62778279464426
4177.358693361092,-106.97803572331594
4213.370406234894,-117.05257150340911
4249.382119108697,-116.17155324430458
4285.393831982499,-113.09458585366272
4321.405544856302,-123.47423206684769
4357.417257730104,-115.73612753782028
4393.428970603907,-111.02807224382902
4429.440683477709,-110.46211576994787
4465.452396351512,-112.93547334088859
4501.464109225314,-114.30291165926535
4537.475822099117,-114.02722098013457
4573.487534972919,-116.09443506493409
4609.499247846722,-113.06999236740118
4645.510960720525,-109.9706249704988
4681.522673594327,-107.64836353656933
4717.53438646813,-109.12774289367252
4753.546099341932,-107.84860243298016
4789.557812215735,-107.73057067873884
4825.569525089537,-109.91293740246526
4861.58123796334,-106.20616384309928
4897.592950837142,-101.14250438139646
4933.604663710945,-101.06837545874359
4969.616376584747,-101.71264689693409
5005.62808945855,-101.7522157123267
