offset_frequency_hz,phase_noise_dbc_per_hz
33333.93328043847,-78.26690338917186
66667.86656087694,-87.1339804607639
100001.7998413154,-105.5580350491835
133335.73312175387,-109.21237502704867
166669.66640219235,-123.00798807178212
200003.5996826308,-129.95629085150372
233337.53296306927,-124.34692123797112
266671.46624350775,-131.55079030161482
300005.3995239462,-129.26972274165027
333339.3328043847,-137.52605093171664
366673.2660848232,-132.76096687761105
400007.1993652616,-135.1369115735337
433341.13264570007,-133.38590100476986
466675.06592613854,-131.8187927767566
500008.999206577,-132.59369230897696
533342.9324870155,-133.77681984622387
566676.8657674539,-137.9662214227709
600010.7990478924,-141.2014976841126
633344.7323283309,-142.01941655356237
666678.6656087694,-147.03622105340318
700012.5988892078,-146.16040630652188
733346.5321696464,-151.30231997342383
766680.4654500848,-145.0259295313533
800014.3987305232,-167.01320639188617
833348.3320109617,-163.84401984205485
866682.2652914001,-136.99124922759322
900016.1985718387,-136.43757705216888
933350.1318522771,-121.94870197191372
966684.0651327156,-97.40722093335603
1000017.998413154,-92.31550943767729
1033351.9316935926,-99.33647421448363
1066685.864974031,-121.93526357155415
1100019.7982544694,-135.8994916689115
1133353.7315349078,-138.49522137805724
1166687.6648153465,-151.41561153512686
1200021.598095785,-154.19265793599422
1233355.5313762233,-148.43730928060236
1266689.4646566617,-159.43135066552358
1300023.3979371004,-152.99320357308252
1333357.3312175388,-169.97106184340748
1366691.2644979772,-157.5963802459428
1400025.1977784156,-157.65448237317648
1433359.131058854,-152.1134689706319
1466693.0643392927,-149.44295216006557
1500026.9976197311,-148.70187703892523
1533360.9309001695,-151.460032884628
1566694.864180608,-159.09315479692336
1600028.7974610464,-168.02727705702011
1633362.730741485,-160.2912632111715
1666696.6640219234,-160.02905368874292
1700030.5973023619,-159.67455187623415
1733364.5305828003,-161.6080256250171
1766698.463863239,-158.54536899609954
1800032.3971436773,-165.85054756491687
1833366.3304241158,-165.54902438108132
1866700.2637045542,-148.9426750268293
1900034.1969849926,-150.04374974989082
1933368.1302654312,-133.89477491409397
1966702.0635458697,-106.57330041877108
2000035.996826308,-101.59839533944238
2033369.9301067465,-108.96865315614868
2066703.8633871851,-134.68773520133155
2100037.7966676233,-144.66334713263683
2133371.729948062,-149.93358035585115
2166705.6632285006,-157.90034045734322
2200039.596508939,-161.63999400917527
2233373.5297893775,-165.75488231076196
2266707.4630698157,-170.06311044682917
2300041.3963502543,-158.202060598788
2333375.329630693,-161.1447726903145
2366709.262911131,-158.29065557711863
2400043.19619157,-160.9424381200044
2433377.129472008,-163.73505460137744
2466711.0627524466,-162.0600062868839
2500044.9960328853,-159.76017935773362
2533378.9293133235,-159.29745445935694
2566712.862593762,-161.027440018694
2600046.7958742008,-162.02937003107152
2633380.729154639,-163.54401897492164
2666714.6624350776,-170.07308281043004
2700048.595715516,-177.00624693802152
2733382.5289959544,-175.04947466602823
2766716.462276393,-172.29137605606218
2800050.3955568313,-171.45556594793672
2833384.32883727,-169.62523452925993
2866718.262117708,-157.4129898798122
2900052.1953981468,-155.16410657974217
2933386.1286785854,-140.658529587577
2966720.0619590236,-111.16451541231947
3000053.9952394622,-106.05166405642399
3033387.9285199004,-113.20834244364791
3066721.861800339,-142.0706492595686
3100055.7950807777,-151.35013545939907
3133389.728361216,-160.0326569770081
3166723.6616416546,-166.07801348121765
3200057.5949220927,-173.058429528129
3233391.5282025314,-164.50490148520984
3266725.46148297,-176.13384953977854
3300059.394763408,-172.37347825245627
3333393.328043847,-171.2911042389216
3366727.2613242855,-180.602325725632
3400061.1946047237,-180.29822082500914
3433395.1278851624,-168.2398776343783
3466729.0611656005,-161.49013888037902
3500062.994446039,-161.95335173963662
3533396.927726478,-168.26117833883401
3566730.861006916,-190.4623895382578
3600064.7942873547,-187.9326543497571
3633398.727567793,-177.2613207233019
3666732.6608482315,-174.1247766114421
3700066.59412867,-167.78481716877604
3733400.5274091084,-175.0029420797099
3766734.460689547,-177.51343059191598
3800068.393969985,-169.83900071692264
3833402.327250424,-172.19116309210793
