period_number,period_s,period_error_s,period_error_fs
1434,3.921511180588139e-09,1.3133879186285734e-14,13.133879186285734
1435,3.921550693306323e-09,5.264659737045608e-14,52.646597370456085
1436,3.921573520803594e-09,7.547409464137801e-14,75.474094641378
1437,3.921547552670785e-09,4.950596183236301e-14,49.505961832363006
1438,3.9215452671455e-09,4.7220436547709254e-14,47.220436547709255
1439,3.921539151296571e-09,4.1104587617990084e-14,41.104587617990084
1440,3.921528027951487e-09,2.9981242534429363e-14,29.981242534429363
1441,3.921542237315424e-09,4.41906064716442e-14,44.1906064716442
1442,3.921588893218307e-09,9.084650935407236e-14,90.84650935407235
1443,3.921561048331537e-09,6.300162258448495e-14,63.00162258448495
1444,3.921560471129406e-09,6.242442045290798e-14,62.42442045290798
1445,3.921562143782307e-09,6.409707335450999e-14,64.09707335450999
1446,3.921547095056153e-09,4.904834720041119e-14,49.04834720041119
1447,3.921534653998854e-09,3.66072899014659e-14,36.6072899014659
1448,3.921592008456409e-09,9.396174745627496e-14,93.96174745627496
1449,3.921598767264332e-09,1.0072055537933234e-13,100.72055537933234
1450,3.921572035636353e-09,7.398892740045305e-14,73.98892740045305
1451,3.9215753934917965e-09,7.73467828438036e-14,77.3467828438036
1452,3.921553158294172e-09,5.51115852197105e-14,55.1115852197105
1453,3.9215506625149815e-09,5.2615806028757494e-14,52.6158060287575
1454,3.921596603278111e-09,9.855656915821421e-14,98.55656915821422
1455,3.921619600886703e-09,1.2155417774999911e-13,121.55417774999911
1456,3.921601573342185e-09,1.035266332320507e-13,103.5266332320507
1457,3.9215842553266735e-09,8.620861772083111e-14,86.20861772083111
1458,3.921595567593986e-09,9.752088503294743e-14,97.52088503294743
1459,3.921566601452434e-09,6.855474348162983e-14,68.55474348162983
1460,3.92158497954662e-09,8.693283766699712e-14,86.93283766699712
1461,3.921628777086e-09,1.307303770469388e-13,130.7303770469388
1462,3.9216245934208666e-09,1.2654671191386036e-13,126.54671191386036
1463,3.921592578773857e-09,9.453206490405664e-14,94.53206490405664
1464,3.921598263300057e-09,1.0021659110450677e-13,100.21659110450676
1465,3.921591357311689e-09,9.331060273653447e-14,93.31060273653448
1466,3.9215833445697436e-09,8.529786079088898e-14,85.29786079088898
1467,3.92163397231176e-09,1.3592560280694622e-13,135.92560280694622
1468,3.9216330175362215e-09,1.3497082726880117e-13,134.97082726880117
1469,3.921616288594856e-09,1.1824188590294727e-13,118.24188590294727
1470,3.92161008245899e-09,1.1203575003731437e-13,112.03575003731437
1471,3.921598755825999e-09,1.0070911704641262e-13,100.70911704641262
1472,3.921598572568727e-09,1.0052585977420826e-13,100.52585977420826
1473,3.9216457530357254e-09,1.4770632677273921e-13,147.7063267727392
1474,3.921659217796716e-09,1.6117108776294532e-13,161.17108776294532
1475,3.921616812210295e-09,1.1876550134214915e-13,118.76550134214915
1476,3.92163456629192e-09,1.365195829671424e-13,136.5195829671424
1477,3.921615580068736e-09,1.17533359783228e-13,117.533359783228
1478,3.921603054741823e-09,1.0500803287042627e-13,105.00803287042628
1479,3.921644397268014e-09,1.463505590611004e-13,146.3505590611004
1480,3.921667754370941e-09,1.6970766198822719e-13,169.7076619882272
1481,3.921639998849535e-09,1.419521405827069e-13,141.9521405827069
1482,3.921640589062093e-09,1.425423531403537e-13,142.5423531403537
1483,3.921627774117675e-09,1.2972740872222678e-13,129.72740872222678
1484,3.921616923612068e-09,1.1887690311537203e-13,118.87690311537203
1485,3.921646739822333e-09,1.486931133800269e-13,148.6931133800269
1486,3.921682250316617e-09,1.8420360766468425e-13,184.20360766468426
1487,3.921651867312562e-09,1.5382060360930828e-13,153.82060360930828
1488,3.921660818485698e-09,1.627717767453486e-13,162.7717767453486
1489,3.921635008158515e-09,1.3696144956253887e-13,136.96144956253886
1490,3.921632416888218e-09,1.343701792652442e-13,134.37017926524422
1491,3.921653006483785e-09,1.549597748319388e-13,154.9597748319388
1492,3.921694930115235e-09,1.9688340628201085e-13,196.88340628201084
1493,3.921663431006358e-09,1.65384297405224e-13,165.38429740522398
1494,3.921664053501035e-09,1.6600679208255654e-13,166.00679208255653
1495,3.921650842904139e-09,1.5279619518663535e-13,152.79619518663534
1496,3.921639851994351e-09,1.4180528539844374e-13,141.80528539844374
1497,3.921662019619075e-09,1.6397291012213667e-13,163.97291012213668
1498,3.921706161040279e-09,2.0811433132613645e-13,208.11433132613644
1499,3.9216749221941336e-09,1.7687548518085473e-13,176.87548518085472
1500,3.921677096805536e-09,1.7905009658326322e-13,179.0500965832632
1501,3.9216611001614225e-09,1.6305345246976034e-13,163.05345246976034
1502,3.921649810852091e-09,1.517641431386464e-13,151.7641431386464
1503,3.921674488404844e-09,1.7644169589164328e-13,176.4416958916433
1504,3.921715810602244e-09,2.177638932915833e-13,217.76389329158332
1505,3.9216829635590165e-09,1.8491685006385384e-13,184.91685006385384
1506,3.921692466916319e-09,1.9442020736634103e-13,194.42020736634103
1507,3.9216704869940965e-09,1.7244028514375965e-13,172.44028514375964
1508,3.921658776146961e-09,1.6072943800798335e-13,160.72943800798336
1509,3.921690302387997e-09,1.9225567904413666e-13,192.25567904413666
1510,3.921723850286614e-09,2.2580357766121507e-13,225.80357766121506
1511,3.921693473652246e-09,1.9542694329360245e-13,195.42694329360245
1512,3.9216931918138916e-09,1.9514510493886484e-13,195.14510493886485
1513,3.921671216499528e-09,1.7316979057551652e-13,173.16979057551652
1514,3.921666247221501e-09,1.6820051254825509e-13,168.2005125482551
1515,3.9217082539028374e-09,2.1020719388473953e-13,210.20719388473952
1516,3.921730548758686e-09,2.3250204973337364e-13,232.50204973337364
1517,3.9217025392087115e-09,2.0449249975884e-13,204.49249975883998
1518,3.9217012431534345e-09,2.0319644448185082e-13,203.19644448185082
1519,3.92168096171523e-09,1.8291500627763092e-13,182.9150062776309
1520,3.921671331370748e-09,1.7328466179569136e-13,173.28466179569136
1521,3.921729024478852e-09,2.3097776989907627e-13,230.97776989907626
1522,3.921734797882525e-09,2.367511735726159e-13,236.7511735726159
1523,3.921714988180686e-09,2.1694147173364443e-13,216.94147173364442
1524,3.9217038681966295e-09,2.0582148767681841e-13,205.8214876768184
1525,3.921693011538175e-09,1.9496482922263482e-13,194.96482922263482
1526,3.92167325114043e-09,1.7520443147745713e-13,175.20443147745712
1527,3.921760115927712e-09,2.620692187590086e-13,262.0692187590086
1528,3.921739003394332e-09,2.409566853794699e-13,240.95668537946992
1529,3.925612747845628e-09,4.1147011366749415e-12,4114.701136674941
1530,3.927776969094672e-09,6.2789223857190125e-12,6278.922385719013
1531,3.9224654917353885e-09,9.674450264358032e-13,967.4450264358032
1532,3.921262542184436e-09,-2.3550452451644765e-13,-235.50452451644765
1533,3.920706276891277e-09,-7.917698176759307e-13,-791.7698176759307
1534,3.92093251757545e-09,-5.65529133502946e-13,-565.529133502946
1535,3.920938102761626e-09,-5.599439473265498e-13,-559.9439473265498
1536,3.920935688839699e-09,-5.623578692534802e-13,-562.3578692534802
1537,3.9209787978835946e-09,-5.192488253581211e-13,-519.248825358121
1538,3.920965000543588e-09,-5.330461653647371e-13,-533.0461653647371
1539,3.920982013681448e-09,-5.160330275044205e-13,-516.0330275044205
1540,3.920983665951349e-09,-5.143807576036612e-13,-514.3807576036612
1541,3.9209904519456416e-09,-5.075947633111287e-13,-507.5947633111287
1542,3.920997187904004e-09,-5.008588049488565e-13,-500.85880494885646
1543,3.921033545458341e-09,-4.645012506118905e-13,-464.5012506118905
1544,3.921048703905755e-09,-4.4934280319793617e-13,-449.3428031979362
1545,3.921057706903755e-09,-4.4033980519805104e-13,-440.339805198051
1546,3.921048371082793e-09,-4.496756261598349e-13,-449.6756261598349
1547,3.921051594714007e-09,-4.4645199494543807e-13,-446.45199494543806
1548,3.921050816202637e-09,-4.472305063153913e-13,-447.23050631539127
1549,3.921051904660303e-09,-4.461420486493788e-13,-446.14204864937875
1550,3.921062299421527e-09,-4.357472874257283e-13,-435.7472874257283
1551,3.921055217629777e-09,-4.4282907917596913e-13,-442.8290791759691
1552,3.921076006501703e-09,-4.220402072499717e-13,-422.0402072499717
1553,3.921115690279885e-09,-3.8235642906803745e-13,-382.35642906803747
1554,3.921102697444995e-09,-3.9534926395761493e-13,-395.34926395761494
1555,3.921100035430506e-09,-3.980112784466643e-13,-398.0112784466643
1556,3.921099807720945e-09,-3.9823898800794054e-13,-398.2389880079405
1557,3.921107741207712e-09,-3.9030550124110374e-13,-390.30550124110374
1558,3.921105318042961e-09,-3.9272866599155453e-13,-392.7286659915545
1559,3.921104543055248e-09,-3.9350365370444717e-13,-393.5036537044472
1560,3.9211026552424255e-09,-3.9539146652717893e-13,-395.3914665271789
1561,3.921120862601874e-09,-3.771841070789238e-13,-377.1841070789238
1562,3.921148583564335e-09,-3.494631446176515e-13,-349.4631446176515
1563,3.921167501889358e-09,-3.30544819594789e-13,-330.544819594789
1564,3.921147840804532e-09,-3.50205904420967e-13,-350.205904420967
1565,3.921146153921477e-09,-3.5189278747608287e-13,-351.89278747608284
1566,3.921149458461278e-09,-3.485882476745643e-13,-348.5882476745643
1567,3.9211470521829765e-09,-3.5099452597617863e-13,-350.99452597617864
1568,3.921144522142997e-09,-3.535245659557822e-13,-353.5245659557822
1569,3.921142346338972e-09,-3.557003699805804e-13,-355.7003699805804
1570,3.921181629043665e-09,-3.1641766528730285e-13,-316.41766528730284
1571,3.9211904809580925e-09,-3.075657508601536e-13,-307.56575086015357
1572,3.921193098845553e-09,-3.049478633995244e-13,-304.9478633995244
1573,3.92118041129489e-09,-3.1763541406238426e-13,-317.63541406238426
1574,3.92118853844727e-09,-3.0950826168248723e-13,-309.5082616824872
1575,3.921186109753089e-09,-3.119369558640177e-13,-311.9369558640177
1576,3.921176675188414e-09,-3.213715205386607e-13,-321.37152053866066
1577,3.921186851347375e-09,-3.111953615780376e-13,-311.1953615780376
1578,3.921193288608038e-09,-3.047581009142851e-13,-304.75810091428514
1579,3.921229452252817e-09,-2.685944561358682e-13,-268.5944561358682
1580,3.921233586749381e-09,-2.6445995957131195e-13,-264.45995957131197
1581,3.921209236354634e-09,-2.8881035431876133e-13,-288.8103543187613
1582,3.921238415487702e-09,-2.5963122125065895e-13,-259.63122125065894
1583,3.921221033504263e-09,-2.770132046900552e-13,-277.0132046900552
1584,3.921216818966473e-09,-2.8122774247999515e-13,-281.22774247999513
1585,3.921220438900686e-09,-2.7760780826650055e-13,-277.60780826650057
1586,3.921213494802612e-09,-2.845519063408357e-13,-284.5519063408357
1587,3.921260028976695e-09,-2.3801773225732336e-13,-238.01773225732336
1588,3.9212679316721205e-09,-2.3011503683218514e-13,-230.11503683218513
1589,3.92125238310166e-09,-2.4566360729285407e-13,-245.66360729285407
1590,3.92124136150895e-09,-2.5668520000252703e-13,-256.68520000252704
1591,3.921269979513184e-09,-2.280671957687945e-13,-228.0671957687945
1592,3.9212480935370796e-09,-2.4995317187313003e-13,-249.95317187313003
1593,3.921245310796679e-09,-2.5273591227408564e-13,-252.73591227408565
1594,3.9212470873974635e-09,-2.509593114891966e-13,-250.95931148919658
1595,3.921288036575106e-09,-2.100101338467002e-13,-210.0101338467002
1596,3.921292136675357e-09,-2.0591003359606607e-13,-205.91003359606606
1597,3.921289363638565e-09,-2.0868307038757793e-13,-208.68307038757794
1598,3.921276241078886e-09,-2.218056300670933e-13,-221.8056300670933
1599,3.921283054313758e-09,-2.1499239519497714e-13,-214.99239519497715
1600,3.921277452051397e-09,-2.2059465755558992e-13,-220.59465755558992
1601,3.921269977426095e-09,-2.2806928285797655e-13,-228.06928285797656
1602,3.921287833043253e-09,-2.1021366569953003e-13,-210.21366569953003
1603,3.921322222608017e-09,-1.7582410093595112e-13,-175.82410093595112
1604,3.921310015060761e-09,-1.8803164819199735e-13,-188.03164819199733
1605,3.921324438093841e-09,-1.7360861511163993e-13,-173.60861511163992
1606,3.921309347788534e-09,-1.8869892041905355e-13,-188.69892041905356
1607,3.921300029314807e-09,-1.9801739414607765e-13,-198.01739414607766
1608,3.921313878371257e-09,-1.8416833769583406e-13,-184.16833769583405
1609,3.9212997802464625e-09,-1.9826646249015189e-13,-198.2664624901519
1610,3.921336475719512e-09,-1.615709894410765e-13,-161.5709894410765
1611,3.92134299258772e-09,-1.5505412123280925e-13,-155.05412123280925
1612,3.921337777765006e-09,-1.6026894394708434e-13,-160.26894394708435
1613,3.9213387583716605e-09,-1.5928833729217983e-13,-159.28833729217982
1614,3.9213244168163734e-09,-1.7362989257927496e-13,-173.62989257927495
1615,3.921325862356025e-09,-1.7218435292775435e-13,-172.18435292775436
1616,3.9213262219858856e-09,-1.718247230671409e-13,-171.8247230671409
1617,3.92132444758061e-09,-1.7359912834263068e-13,-173.59912834263068
1618,3.921386576457957e-09,-1.1147025099601015e-13,-111.47025099601015
1619,3.921365007719408e-09,-1.330389895446764e-13,-133.0389895446764
1620,3.921358409454722e-09,-1.39637254231043e-13,-139.637254231043
1621,3.921351565970609e-09,-1.464807383437715e-13,-146.4807383437715
1622,3.921358393218794e-09,-1.3965349015857597e-13,-139.65349015857598
1623,3.9213397437217e-09,-1.583029872527707e-13,-158.3029872527707
1624,3.921341210349084e-09,-1.5683635986899524e-13,-156.83635986899523
1625,3.921388559273995e-09,-1.0948743495791434e-13,-109.48743495791435
1626,3.921404129501394e-09,-9.391720755885001e-14,-93.91720755885001
1627,3.921378027035936e-09,-1.2001967301703597e-13,-120.01967301703597
1628,3.92137429613363e-09,-1.2375057532288446e-13,-123.75057532288446
1629,3.92138849446581e-09,-1.0955224314277466e-13,-109.55224314277467
1630,3.921376222137474e-09,-1.218245714786269e-13,-121.8245714786269
1631,3.921358170415248e-09,-1.3987629370502174e-13,-139.87629370502174
1632,3.921396375368771e-09,-1.016713401813034e-13,-101.6713401813034
1633,3.92142055169486e-09,-7.749501409264658e-14,-77.49501409264657
1634,3.9214118331373e-09,-8.621357165258014e-14,-86.21357165258013
1635,3.921400740881714e-09,-9.730582723884483e-14,-97.30582723884483
1636,3.921396324221534e-09,-1.0172248741879041e-13,-101.72248741879041
1637,3.92139305592119e-09,-1.0499078776269365e-13,-104.99078776269366
1638,3.92137578102982e-09,-1.2226567913250263e-13,-122.26567913250263
1639,3.921419688480195e-09,-7.835822875732522e-14,-78.35822875732522
1640,3.921443190215692e-09,-5.4856493260388873e-14,-54.85649326038887
1641,3.921432851995612e-09,-6.519471334074422e-14,-65.19471334074422
1642,3.921418472140883e-09,-7.95745680695824e-14,-79.5745680695824
1643,3.9214215575363205e-09,-7.648917263217746e-14,-76.48917263217746
1644,3.921413097208613e-09,-8.494950033967929e-14,-84.94950033967929
1645,3.92140694745126e-09,-9.109925769234294e-14,-91.09925769234295
1646,3.921421583421647e-09,-7.646328730530937e-14,-76.46328730530936
1647,3.921462526229602e-09,-3.552047935057633e-14,-35.52047935057633
1648,3.9214524907729784e-09,-4.5555935974265095e-14,-45.5559359742651
1649,3.921437667859032e-09,-6.037884992088948e-14,-60.37884992088948
1650,3.9214403331532324e-09,-5.771355572026836e-14,-57.71355572026836
1651,3.921426184043831e-09,-7.186266512174732e-14,-71.86266512174731
1652,3.921423932508284e-09,-7.411420066829365e-14,-74.11420066829365
1653,3.921456912827064e-09,-4.1133881888511404e-14,-41.133881888511404
1654,3.921481937161882e-09,-1.6109547070645037e-14,-16.109547070645036
1655,3.921463632576604e-09,-3.441413234871781e-14,-34.41413234871781
1656,3.921447529599362e-09,-5.05171095902872e-14,-50.517109590287205
1657,3.9214308924357105e-09,-6.71542732422402e-14,-67.15427324224021
1658,3.921401419348328e-09,-9.662736062435772e-14,-96.62736062435772
1659,3.921444949333717e-09,-5.309737523553114e-14,-53.09737523553114
1660,3.921466966823545e-09,-3.1079885407673137e-14,-31.079885407673135
1661,3.921502306691513e-09,4.259982560089314e-15,4.2599825600893135
1662,3.921478377861675e-09,-1.9668847277643388e-14,-19.668847277643387
1663,3.921476471048209e-09,-2.1575660743447956e-14,-21.575660743447955
1664,3.921472980459315e-09,-2.5066249637765038e-14,-25.066249637765036
1665,3.9214654054639964e-09,-3.264124495626951e-14,-32.64124495626951
1666,3.9214532154537105e-09,-4.4831255242175784e-14,-44.831255242175786
1667,3.9215178657245244e-09,1.981901557172273e-14,19.81901557172273
1668,3.921499450089839e-09,1.403380886133131e-15,1.403380886133131
1669,3.921500097439851e-09,2.0507308982699136e-15,2.0507308982699137
1670,3.921493396094643e-09,-4.650614309645741e-15,-4.650614309645741
1671,3.9214985101678704e-09,4.634589177511351e-16,0.46345891775113507
1672,3.921486382905785e-09,-1.1663803167422538e-14,-11.663803167422538
1673,3.9214407179907936e-09,-5.732871815914463e-14,-57.328718159144636
1674,3.921549787428303e-09,5.174071935029013e-14,51.74071935029013
1675,3.921526654917856e-09,2.860820890319372e-14,28.60820890319372
1676,3.9215149417667905e-09,1.6895057837800885e-14,16.895057837800884
1677,3.921506064780188e-09,8.018071235412881e-15,8.018071235412881
1678,3.9215001566372896e-09,2.109928336887622e-15,2.1099283368876223
1679,3.9214917584072615e-09,-6.288301691185095e-15,-6.2883016911850955
1680,3.921523831980659e-09,2.5785271706693213e-14,25.785271706693212
1681,3.9215441562448494e-09,4.6109535896726294e-14,46.10953589672629
1682,3.921527284974843e-09,2.923826589067936e-14,29.238265890679358
1683,3.921519594213838e-09,2.1547504885207746e-14,21.547504885207747
1684,3.9215251924917555e-09,2.7145782802836648e-14,27.14578280283665
1685,3.92151140572272e-09,1.3359013767402349e-14,13.359013767402349
1686,3.9214922766559e-09,-5.770053052737024e-15,-5.770053052737024
1687,3.921573549806002e-09,7.5503097049492e-14,75.503097049492
1688,3.921551067843964e-09,5.30211350109412e-14,53.0211350109412
1689,3.921539122185742e-09,4.107547678965885e-14,41.07547678965885
1690,3.921537401312949e-09,3.9354603996435543e-14,39.35460399643554
1691,3.9215391208847e-09,4.1074175747051865e-14,41.07417574705187
1692,3.921522646107428e-09,2.459939847548288e-14,24.59939847548288
1693,3.921537277822322e-09,3.9231113368989444e-14,39.23111336898945
1694,3.921584643769207e-09,8.659706025417836e-14,86.59706025417836
1695,3.921570323654018e-09,7.227694506504413e-14,72.27694506504413
1696,3.921556309310946e-09,5.826260199360512e-14,58.262601993605124
1697,3.921547120074118e-09,4.907336516554129e-14,49.07336516554129
1698,3.921539245811895e-09,4.119910294237651e-14,41.199102942376506
1699,3.92152893518476e-09,3.088847580731092e-14,30.888475807310922
1700,3.9215909742088516e-09,9.292749989888672e-14,92.92749989888672
1701,3.9215863508726325e-09,8.83041636798111e-14,88.3041636798111
1702,3.921570938017179e-09,7.289130822608304e-14,72.89130822608304
1703,3.921569935943321e-09,7.188923436816331e-14,71.88923436816332
1704,3.921566207019684e-09,6.81603107312796e-14,68.16031073127961
1705,3.9215470558351395e-09,4.9009126186821527e-14,49.009126186821526
1706,3.921586123976223e-09,8.807726727016419e-14,88.0772672701642
1707,3.921602883817351e-09,1.0483710839793393e-13,104.83710839793393
1708,3.921583868971229e-09,8.58222622766659e-14,85.82226227666591
1709,3.921584609020527e-09,8.65623115745502e-14,86.5623115745502
1710,3.9215559695761956e-09,5.792286724285679e-14,57.92286724285679
1711,3.921567621063262e-09,6.957435430968951e-14,69.57435430968951
1712,3.921581619956453e-09,8.35732475001706e-14,83.5732475001706
1713,3.921621412019327e-09,1.2336531037408184e-13,123.36531037408184
1714,3.921596555898476e-09,9.85091895232766e-14,98.50918952327659
1715,3.9216052048502564e-09,1.0715814130373659e-13,107.15814130373658
1716,3.921596424655803e-09,9.837794685029723e-14,98.37794685029722
1717,3.921583665737532e-09,8.56190285794335e-14,85.6190285794335
1718,3.921567116285836e-09,6.906957688323457e-14,69.06957688323457
1719,3.921637308672895e-09,1.3926196394222724e-13,139.26196394222723
1720,3.92162225699229e-09,1.2421028333720841e-13,124.21028333720841
1721,3.921606470927343e-09,1.0842421839065653e-13,108.42421839065653
1722,3.921604938434678e-09,1.0689172572490259e-13,106.89172572490259
1723,3.921594171792109e-09,9.61250831560896e-14,96.1250831560896
1724,3.921580008886235e-09,8.196217728196576e-14,81.96217728196577
1725,3.921632398619411e-09,1.3435191045863782e-13,134.35191045863783
1726,3.921644080979135e-09,1.4603427018233207e-13,146.03427018233208
1727,3.921618756049265e-09,1.207093403121441e-13,120.70934031214409
1728,3.9216191402092e-09,1.2109350024691002e-13,121.09350024691003
1729,3.921606860969075e-09,1.088142601222082e-13,108.8142601222082
1730,3.9215958225712316e-09,9.777586227886171e-14,97.77586227886171
1731,3.921630847370048e-09,1.3280066109529988e-13,132.8006610952999
1732,3.921657273253014e-09,1.5922654406153825e-13,159.22654406153825
1733,3.921631115167985e-09,1.330684590319038e-13,133.06845903190379
1734,3.921632448845077e-09,1.3440213612427821e-13,134.4021361242782
1735,3.921619689059444e-09,1.216423504916765e-13,121.6423504916765
1736,3.921600975973893e-09,1.029292649400655e-13,102.9292649400655
1737,3.921627058544241e-09,1.2901183528838634e-13,129.01183528838635
1738,3.921675316328728e-09,1.7726961977560752e-13,177.2696197756075
1739,3.9216560736646255e-09,1.5802695567284598e-13,158.026955672846
1740,3.921623628399618e-09,1.2558169066518533e-13,125.58169066518533
1741,3.921631987815208e-09,1.3394110625548307e-13,133.94110625548308
1742,3.92162171819802e-09,1.2367148906759174e-13,123.67148906759175
1743,3.921632660942127e-09,1.346142331742707e-13,134.61423317427068
1744,3.921685121798966e-09,1.870750900134578e-13,187.0750900134578
1745,3.9216589177708695e-09,1.6087106191676427e-13,160.87106191676426
1746,3.921652678078947e-09,1.5463136999389294e-13,154.63136999389295
1747,3.92164338969183e-09,1.453429828771553e-13,145.34298287715532
1748,3.921632888597478e-09,1.3484188852543833e-13,134.84188852543832
1749,3.921640249842338e-09,1.422031333856373e-13,142.2031333856373
1750,3.9216950443359336e-09,1.969976269808822e-13,196.9976269808822
1751,3.921670631301406e-09,1.7258459245291747e-13,172.58459245291746
1752,3.921662717248963e-09,1.6467054001002247e-13,164.67054001002248
1753,3.9216539371900346e-09,1.5589048108185467e-13,155.89048108185466
1754,3.921643213644502e-09,1.4516693554939798e-13,145.16693554939798
1755,3.9216493852485285e-09,1.5133853957583722e-13,151.33853957583722
1756,3.9217050150385825e-09,2.0696832962981927e-13,206.96832962981927
1757,3.921680890998144e-09,1.8284428919093055e-13,182.84428919093054
1758,3.921672638186732e-09,1.7459147777924245e-13,174.59147777924247
1759,3.92166371159788e-09,1.6566488892746324e-13,165.66488892746324
1760,3.9216526975403756e-09,1.5465083142288906e-13,154.65083142288907
1761,3.9216698617075985e-09,1.7181499864583295e-13,171.81499864583296
1762,3.921704763205523e-09,2.067164965702052e-13,206.7164965702052
1763,3.9216896269571484e-09,1.915802481957325e-13,191.5802481957325
1764,3.921682392428417e-09,1.843457194644428e-13,184.3457194644428
1765,3.921672621408703e-09,1.7457469975062324e-13,174.57469975062324
1766,3.921666986837118e-09,1.6894012816527039e-13,168.94012816527038
1767,3.9216657459135214e-09,1.676992045687521e-13,167.6992045687521
1768,3.921725330032844e-09,2.272833238912776e-13,227.2833238912776
1769,3.921696138485661e-09,1.9809177670830026e-13,198.09177670830027
1770,3.921691070843392e-09,1.9302413443894007e-13,193.02413443894008
1771,3.921680611246878e-09,1.8256453792537498e-13,182.564537925375
1772,3.921669220266488e-09,1.7117355753553621e-13,171.17355753553622
1773,3.921695209432819e-09,1.9716272386669743e-13,197.16272386669743
1774,3.92172729192378e-09,2.2924521482744443e-13,229.24521482744444
1775,3.9217035642676555e-09,2.0551755870281642e-13,205.51755870281642
1776,3.921694449867882e-09,1.964031589297084e-13,196.4031589297084
1777,3.921687893697345e-09,1.8984698839268855e-13,189.84698839268856
1778,3.9216798399183475e-09,1.8179320939481448e-13,181.79320939481448
1779,3.9216968428918125e-09,1.987961828597641e-13,198.7961828597641
1780,3.921744932001547e-09,2.4688529259400084e-13,246.88529259400084
1781,3.921714484460357e-09,2.1643775140430766e-13,216.43775140430768
1782,3.921696387716635e-09,1.9834100768270036e-13,198.34100768270036
1783,3.9216928194446554e-09,1.947727357027247e-13,194.7727357027247
1784,3.9256022091294605e-09,4.104162420507839e-12,4104.16242050784
1785,3.927736098657212e-09,6.238051948259293e-12,6238.051948259293
1786,3.922555515887801e-09,1.0574691788479774e-12,1057.4691788479774
1787,3.9212774128574886e-09,-2.2063385146412528e-13,-220.63385146412529
1788,3.920722751207762e-09,-7.75295501190285e-13,-775.295501190285
1789,3.920928830447807e-09,-5.692162611460804e-13,-569.2162611460803
1790,3.92093422185995e-09,-5.638248490029617e-13,-563.8248490029617
1791,3.920953986757134e-09,-5.440599518187682e-13,-544.0599518187682
1792,3.920963978059624e-09,-5.340686493285539e-13,-534.0686493285539
1793,3.920993446322307e-09,-5.04600386646104e-13,-504.60038664610397
1794,3.921025605520571e-09,-4.724411883816536e-13,-472.4411883816536
1795,3.921042886158212e-09,-4.551605507403305e-13,-455.16055074033045
1796,3.921029375996256e-09,-4.686707126965094e-13,-468.6707126965094
1797,3.9210324079405265e-09,-4.65638768426208e-13,-465.638768426208
1798,3.921043277555197e-09,-4.547691537560632e-13,-454.7691537560632
1799,3.921043891078101e-09,-4.5415563085170795e-13,-454.15563085170794
1800,3.921047520634609e-09,-4.5052607434393254e-13,-450.5260743439325
1801,3.921049012984689e-09,-4.4903372426361487e-13,-449.0337242636149
1802,3.92105008124909e-09,-4.479654598630649e-13,-447.9654598630649
1803,3.9211028064615235e-09,-3.952402474291715e-13,-395.2402474291715
1804,3.921102808087827e-09,-3.952386211259128e-13,-395.2386211259128
1805,3.921093764540666e-09,-4.0428216828704887e-13,-404.2821682870489
1806,3.921101081550077e-09,-3.969651588754873e-13,-396.9651588754873
1807,3.921098168109104e-09,-3.9987859984833606e-13,-399.8785998483361
1808,3.921099345173193e-09,-3.9870153575977717e-13,-398.7015357597772
1809,3.921094149866118e-09,-4.038968428349475e-13,-403.8968428349475
1810,3.921111565514035e-09,-3.864811949180956e-13,-386.48119491809564
1811,3.9210959064362675e-09,-4.0214027268519513e-13,-402.14027268519516
1812,3.921134218644491e-09,-3.6382806446156367e-13,-363.82806446156366
1813,3.9211538513774305e-09,-3.4419533152219616e-13,-344.19533152219617
1814,3.921156358811795e-09,-3.4168789715788893e-13,-341.6878971578889
1815,3.921149774208056e-09,-3.482725008968822e-13,-348.2725008968822
1816,3.921140977289784e-09,-3.5706941916883216e-13,-357.06941916883216
1817,3.921156626880782e-09,-3.414198281707419e-13,-341.4198281707419
1818,3.921148185363982e-09,-3.498613449705511e-13,-349.8613449705511
1819,3.921144646013095e-09,-3.534006958575757e-13,-353.4006958575757
1820,3.921137331307613e-09,-3.6071540133952073e-13,-360.7154013395207
1821,3.921199965829748e-09,-2.9808087920470726e-13,-298.0808792047073
1822,3.921202394171564e-09,-2.9565253738888285e-13,-295.6525373888829
1823,3.921181726269495e-09,-3.163204394574852e-13,-316.32043945748524
1824,3.9211785923289055e-09,-3.194543800471632e-13,-319.45438004716317
1825,3.9211849767889235e-09,-3.1306992002921074e-13,-313.0699200292107
1826,3.921181854774558e-09,-3.1619193439499137e-13,-316.1919343949914
1827,3.921185149204174e-09,-3.1289750477873123e-13,-312.8975047787312
1828,3.9211737174848875e-09,-3.2432922406520114e-13,-324.3292240652011
1829,3.921206327711256e-09,-2.917189976969968e-13,-291.71899769699684
1830,3.921243502781136e-09,-2.5454392781692247e-13,-254.54392781692246
1831,3.92121393539527e-09,-2.841113136829919e-13,-284.1113136829919
1832,3.921217532371502e-09,-2.805143374504997e-13,-280.5143374504997
1833,3.921211039166006e-09,-2.8700754294635244e-13,-287.00754294635243
1834,3.921217800901275e-09,-2.8024580767742934e-13,-280.24580767742935
1835,3.921212107620142e-09,-2.859390888104223e-13,-285.9390888104223
1836,3.921216731796618e-09,-2.81314912334663e-13,-281.314912334663
